10,4875,0.0269
20,85500,0.0173
30,445875,0.0185
40,1430000,0.0178
50,3521875,0.0199
60,7345500,0.0223
70,13664875,0.0256
80,23384000,0.0438
90,37546875,0.0466
100,57337500,0.0566
200,925350000,0.2576
300,4698037500,0.3893
400,14869400000,0.5681
500,36333437500,0.8975
600,75384150000,1.3131
700,139715537500,1.6916
800,238421600000,2.676
900,381996337500,2.9194
1000,582333750000,3.5116
1500,2949750937500,9.975
2000,9325335000000,15.9073
2500,22770835937500,22.1896
3000,47223003750000,31.0749
3500,87493588437500,39.0812
4000,149269340000000,48.4941
4500,239112008437500,59.5848
5000,364458343750000,68.0015
7500,1845281273437500,203.221
10000,5832333375000000,320.63